word,pair,type,freq,file,register
add,add/subtract,add,3234,w_acad_1990.txt,academic
subtract,add/subtract,subtract,30,w_acad_1990.txt,academic
addition,addition/subtraction,add,1441,w_acad_1990.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_1990.txt,academic
plus,plus/minus,add,280,w_acad_1990.txt,academic
minus,plus/minus,subtract,28,w_acad_1990.txt,academic
more,more/less,add,9862,w_acad_1990.txt,academic
less,more/less,subtract,4653,w_acad_1990.txt,academic
most,most/least,add,6210,w_acad_1990.txt,academic
least,most/least,subtract,1453,w_acad_1990.txt,academic
many,many/few,add,4494,w_acad_1990.txt,academic
few,many/few,subtract,1535,w_acad_1990.txt,academic
increase,increase/decrease,add,2073,w_acad_1990.txt,academic
decrease,increase/decrease,subtract,283,w_acad_1990.txt,academic
add,add/subtract,add,3774,w_acad_1991.txt,academic
subtract,add/subtract,subtract,27,w_acad_1991.txt,academic
addition,addition/subtraction,add,1559,w_acad_1991.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_1991.txt,academic
plus,plus/minus,add,295,w_acad_1991.txt,academic
minus,plus/minus,subtract,49,w_acad_1991.txt,academic
more,more/less,add,10074,w_acad_1991.txt,academic
less,more/less,subtract,4840,w_acad_1991.txt,academic
most,most/least,add,6037,w_acad_1991.txt,academic
least,most/least,subtract,1322,w_acad_1991.txt,academic
many,many/few,add,4450,w_acad_1991.txt,academic
few,many/few,subtract,1474,w_acad_1991.txt,academic
increase,increase/decrease,add,2166,w_acad_1991.txt,academic
decrease,increase/decrease,subtract,331,w_acad_1991.txt,academic
add,add/subtract,add,3325,w_acad_1992.txt,academic
subtract,add/subtract,subtract,53,w_acad_1992.txt,academic
addition,addition/subtraction,add,1480,w_acad_1992.txt,academic
subtraction,addition/subtraction,subtract,7,w_acad_1992.txt,academic
plus,plus/minus,add,329,w_acad_1992.txt,academic
minus,plus/minus,subtract,34,w_acad_1992.txt,academic
more,more/less,add,9971,w_acad_1992.txt,academic
less,more/less,subtract,4524,w_acad_1992.txt,academic
most,most/least,add,6300,w_acad_1992.txt,academic
least,most/least,subtract,1310,w_acad_1992.txt,academic
many,many/few,add,4052,w_acad_1992.txt,academic
few,many/few,subtract,1488,w_acad_1992.txt,academic
increase,increase/decrease,add,2552,w_acad_1992.txt,academic
decrease,increase/decrease,subtract,424,w_acad_1992.txt,academic
add,add/subtract,add,3562,w_acad_1993.txt,academic
subtract,add/subtract,subtract,23,w_acad_1993.txt,academic
addition,addition/subtraction,add,1520,w_acad_1993.txt,academic
subtraction,addition/subtraction,subtract,7,w_acad_1993.txt,academic
plus,plus/minus,add,274,w_acad_1993.txt,academic
minus,plus/minus,subtract,43,w_acad_1993.txt,academic
more,more/less,add,10265,w_acad_1993.txt,academic
less,more/less,subtract,4854,w_acad_1993.txt,academic
most,most/least,add,6623,w_acad_1993.txt,academic
least,most/least,subtract,1443,w_acad_1993.txt,academic
many,many/few,add,4822,w_acad_1993.txt,academic
few,many/few,subtract,1607,w_acad_1993.txt,academic
increase,increase/decrease,add,2222,w_acad_1993.txt,academic
decrease,increase/decrease,subtract,357,w_acad_1993.txt,academic
add,add/subtract,add,4290,w_acad_1994.txt,academic
subtract,add/subtract,subtract,30,w_acad_1994.txt,academic
addition,addition/subtraction,add,1560,w_acad_1994.txt,academic
subtraction,addition/subtraction,subtract,2,w_acad_1994.txt,academic
plus,plus/minus,add,261,w_acad_1994.txt,academic
minus,plus/minus,subtract,43,w_acad_1994.txt,academic
more,more/less,add,10206,w_acad_1994.txt,academic
less,more/less,subtract,4716,w_acad_1994.txt,academic
most,most/least,add,5964,w_acad_1994.txt,academic
least,most/least,subtract,1316,w_acad_1994.txt,academic
many,many/few,add,3999,w_acad_1994.txt,academic
few,many/few,subtract,1565,w_acad_1994.txt,academic
increase,increase/decrease,add,2283,w_acad_1994.txt,academic
decrease,increase/decrease,subtract,351,w_acad_1994.txt,academic
add,add/subtract,add,3669,w_acad_1995.txt,academic
subtract,add/subtract,subtract,28,w_acad_1995.txt,academic
addition,addition/subtraction,add,1524,w_acad_1995.txt,academic
subtraction,addition/subtraction,subtract,8,w_acad_1995.txt,academic
plus,plus/minus,add,248,w_acad_1995.txt,academic
minus,plus/minus,subtract,51,w_acad_1995.txt,academic
more,more/less,add,9942,w_acad_1995.txt,academic
less,more/less,subtract,4997,w_acad_1995.txt,academic
most,most/least,add,5756,w_acad_1995.txt,academic
least,most/least,subtract,1233,w_acad_1995.txt,academic
many,many/few,add,3720,w_acad_1995.txt,academic
few,many/few,subtract,1466,w_acad_1995.txt,academic
increase,increase/decrease,add,2114,w_acad_1995.txt,academic
decrease,increase/decrease,subtract,387,w_acad_1995.txt,academic
add,add/subtract,add,3890,w_acad_1996.txt,academic
subtract,add/subtract,subtract,32,w_acad_1996.txt,academic
addition,addition/subtraction,add,1744,w_acad_1996.txt,academic
subtraction,addition/subtraction,subtract,8,w_acad_1996.txt,academic
plus,plus/minus,add,298,w_acad_1996.txt,academic
minus,plus/minus,subtract,55,w_acad_1996.txt,academic
more,more/less,add,10304,w_acad_1996.txt,academic
less,more/less,subtract,4640,w_acad_1996.txt,academic
most,most/least,add,5793,w_acad_1996.txt,academic
least,most/least,subtract,1331,w_acad_1996.txt,academic
many,many/few,add,3993,w_acad_1996.txt,academic
few,many/few,subtract,1497,w_acad_1996.txt,academic
increase,increase/decrease,add,2124,w_acad_1996.txt,academic
decrease,increase/decrease,subtract,402,w_acad_1996.txt,academic
add,add/subtract,add,4456,w_acad_1997.txt,academic
subtract,add/subtract,subtract,27,w_acad_1997.txt,academic
addition,addition/subtraction,add,1733,w_acad_1997.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_1997.txt,academic
plus,plus/minus,add,243,w_acad_1997.txt,academic
minus,plus/minus,subtract,40,w_acad_1997.txt,academic
more,more/less,add,11342,w_acad_1997.txt,academic
less,more/less,subtract,5307,w_acad_1997.txt,academic
most,most/least,add,6338,w_acad_1997.txt,academic
least,most/least,subtract,1400,w_acad_1997.txt,academic
many,many/few,add,4200,w_acad_1997.txt,academic
few,many/few,subtract,1598,w_acad_1997.txt,academic
increase,increase/decrease,add,2372,w_acad_1997.txt,academic
decrease,increase/decrease,subtract,372,w_acad_1997.txt,academic
add,add/subtract,add,4414,w_acad_1998.txt,academic
subtract,add/subtract,subtract,55,w_acad_1998.txt,academic
