binomial,type,function_word,pair,freq,file,register
add and subtract,add_first,and,1,0,w_acad_1990.txt,academic
subtract and add,sub_first,and,1,0,w_acad_1990.txt,academic
add or subtract,add_first,or,1,0,w_acad_1990.txt,academic
subtract or add,sub_first,or,1,0,w_acad_1990.txt,academic
plus and minus,add_first,and,2,0,w_acad_1990.txt,academic
minus and plus,sub_first,and,2,0,w_acad_1990.txt,academic
plus or minus,add_first,or,2,2,w_acad_1990.txt,academic
minus or plus,sub_first,or,2,0,w_acad_1990.txt,academic
addition and subtraction,add_first,and,3,0,w_acad_1990.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_1990.txt,academic
addition or subtraction,add_first,or,3,0,w_acad_1990.txt,academic
subtraction or addition,sub_first,or,3,0,w_acad_1990.txt,academic
more or less,add_first,or,4,96,w_acad_1990.txt,academic
less or more,sub_first,or,4,2,w_acad_1990.txt,academic
more and less,add_first,and,4,4,w_acad_1990.txt,academic
less and more,sub_first,and,4,0,w_acad_1990.txt,academic
increase or decrease,add_first,or,5,7,w_acad_1990.txt,academic
decrease or increase,sub_first,or,5,0,w_acad_1990.txt,academic
increase and decrease,add_first,and,5,0,w_acad_1990.txt,academic
decrease and increase,sub_first,and,5,0,w_acad_1990.txt,academic
many or few,add_first,or,6,0,w_acad_1990.txt,academic
few or many,sub_first,or,6,0,w_acad_1990.txt,academic
many and few,add_first,and,6,0,w_acad_1990.txt,academic
few and many,sub_first,and,6,0,w_acad_1990.txt,academic
most or least,add_first,or,7,0,w_acad_1990.txt,academic
least or most,sub_first,or,7,0,w_acad_1990.txt,academic
most and least,add_first,and,7,0,w_acad_1990.txt,academic
least and most,sub_first,and,7,0,w_acad_1990.txt,academic
add and subtract,add_first,and,1,0,w_acad_1991.txt,academic
subtract and add,sub_first,and,1,0,w_acad_1991.txt,academic
add or subtract,add_first,or,1,0,w_acad_1991.txt,academic
subtract or add,sub_first,or,1,0,w_acad_1991.txt,academic
plus and minus,add_first,and,2,1,w_acad_1991.txt,academic
minus and plus,sub_first,and,2,0,w_acad_1991.txt,academic
plus or minus,add_first,or,2,2,w_acad_1991.txt,academic
minus or plus,sub_first,or,2,0,w_acad_1991.txt,academic
addition and subtraction,add_first,and,3,1,w_acad_1991.txt,academic
subtraction and addition,sub_first,and,3,0,w_acad_1991.txt,academic
